name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,1.0694393526985722,3.24
2_DecisionTree,Decision Tree,logloss,0.5910845591938113,13.58
3_Default_Xgboost,Xgboost,logloss,0.5047635777410961,16.67
4_Default_NeuralNetwork,Neural Network,logloss,0.5653766693736053,4.86
5_Default_RandomForest,Random Forest,logloss,0.547393252542401,14.93
Ensemble,Ensemble,logloss,0.5040304532695844,0.33
